flawed_sentence,corrected_sentence,difficulty_flawed,difficulty_corrected
He dont knows the answer jf44-5.,He doesn't know the answer jf44-5.,beginner,advanced
He dont knows the answer jf47-5.,He doesn't know the answer jf47-5.,beginner,advanced
She dont like coffee jf29-1.,She doesn't like coffee jf29-1.,beginner,advanced
She can sings well jf20-10.,She can sing well jf20-10.,beginner,advanced
They enjoys the movie jf57-13.,They enjoy the movie jf57-13.,beginner,advanced
They was happy yesterday jf15-2.,They were happy yesterday jf15-2.,beginner,advanced
She dont like coffee jf57-1.,She doesn't like coffee jf57-1.,beginner,advanced
I has a dog jf22-3.,I have a dog jf22-3.,beginner,advanced
She have went to Paris jf2-6.,She has gone to Paris jf2-6.,beginner,advanced
They was happy yesterday jf0-2.,They were happy yesterday jf0-2.,beginner,advanced
He walk to school everyday jf24-12.,He walks to school every day jf24-12.,beginner,advanced
I am agree with you jf27-14.,I agree with you jf27-14.,beginner,advanced
She have went to Paris jf43-6.,She has gone to Paris jf43-6.,beginner,advanced
He dont knows the answer jf25-5.,He doesn't know the answer jf25-5.,beginner,advanced
Me and him goes there jf47-9.,He and I go there jf47-9.,beginner,advanced
She have went to Paris jf24-6.,She has gone to Paris jf24-6.,beginner,advanced
Me and him goes there jf34-9.,He and I go there jf34-9.,beginner,advanced
She have went to Paris jf53-6.,She has gone to Paris jf53-6.,beginner,advanced
They was happy yesterday jf58-2.,They were happy yesterday jf58-2.,beginner,advanced
I am agree with you jf8-14.,I agree with you jf8-14.,beginner,advanced
We was going home jf24-4.,We were going home jf24-4.,beginner,advanced
He walk to school everyday jf57-12.,He walks to school every day jf57-12.,beginner,advanced
He dont knows the answer jf6-5.,He doesn't know the answer jf6-5.,beginner,advanced
He walk to school everyday jf8-12.,He walks to school every day jf8-12.,beginner,advanced
We was going home jf15-4.,We were going home jf15-4.,beginner,advanced
He go to store jf0-0.,He goes to the store jf0-0.,beginner,advanced
Me and him goes there jf26-9.,He and I go there jf26-9.,beginner,advanced
He walk to school everyday jf12-12.,He walks to school every day jf12-12.,beginner,advanced
I has a dog jf55-3.,I have a dog jf55-3.,beginner,advanced
We was going home jf44-4.,We were going home jf44-4.,beginner,advanced
He dont knows the answer jf30-5.,He doesn't know the answer jf30-5.,beginner,advanced
There is many books jf54-11.,There are many books jf54-11.,beginner,advanced
She can sings well jf56-10.,She can sing well jf56-10.,beginner,advanced
She have went to Paris jf12-6.,She has gone to Paris jf12-6.,beginner,advanced
There is many books jf40-11.,There are many books jf40-11.,beginner,advanced
Me and him goes there jf10-9.,He and I go there jf10-9.,beginner,advanced
There is many books jf7-11.,There are many books jf7-11.,beginner,advanced
She have went to Paris jf25-6.,She has gone to Paris jf25-6.,beginner,advanced
I am agree with you jf18-14.,I agree with you jf18-14.,beginner,advanced
The childrens are playing jf4-7.,The children are playing jf4-7.,beginner,advanced
They enjoys the movie jf20-13.,They enjoy the movie jf20-13.,beginner,advanced
He go to store jf30-0.,He goes to the store jf30-0.,beginner,advanced
They was happy yesterday jf42-2.,They were happy yesterday jf42-2.,beginner,advanced
He dont knows the answer jf21-5.,He doesn't know the answer jf21-5.,beginner,advanced
I am agree with you jf13-14.,I agree with you jf13-14.,beginner,advanced
We was going home jf35-4.,We were going home jf35-4.,beginner,advanced
We was going home jf30-4.,We were going home jf30-4.,beginner,advanced
She can sings well jf35-10.,She can sing well jf35-10.,beginner,advanced
The childrens are playing jf49-7.,The children are playing jf49-7.,beginner,advanced
We was going home jf23-4.,We were going home jf23-4.,beginner,advanced
We was going home jf17-4.,We were going home jf17-4.,beginner,advanced
He walk to school everyday jf9-12.,He walks to school every day jf9-12.,beginner,advanced
They enjoys the movie jf9-13.,They enjoy the movie jf9-13.,beginner,advanced
The childrens are playing jf13-7.,The children are playing jf13-7.,beginner,advanced
I am agree with you jf24-14.,I agree with you jf24-14.,beginner,advanced
He walk to school everyday jf52-12.,He walks to school every day jf52-12.,beginner,advanced
I am agree with you jf2-14.,I agree with you jf2-14.,beginner,advanced
He walk to school everyday jf20-12.,He walks to school every day jf20-12.,beginner,advanced
He walk to school everyday jf56-12.,He walks to school every day jf56-12.,beginner,advanced
I am agree with you jf21-14.,I agree with you jf21-14.,beginner,advanced
I has a dog jf48-3.,I have a dog jf48-3.,beginner,advanced
She can sings well jf1-10.,She can sing well jf1-10.,beginner,advanced
He walk to school everyday jf30-12.,He walks to school every day jf30-12.,beginner,advanced
I am agree with you jf49-14.,I agree with you jf49-14.,beginner,advanced
She have went to Paris jf4-6.,She has gone to Paris jf4-6.,beginner,advanced
They enjoys the movie jf39-13.,They enjoy the movie jf39-13.,beginner,advanced
It are raining outside jf47-8.,It is raining outside jf47-8.,beginner,advanced
They enjoys the movie jf26-13.,They enjoy the movie jf26-13.,beginner,advanced
He walk to school everyday jf0-12.,He walks to school every day jf0-12.,beginner,advanced
We was going home jf10-4.,We were going home jf10-4.,beginner,advanced
She can sings well jf42-10.,She can sing well jf42-10.,beginner,advanced
She can sings well jf3-10.,She can sing well jf3-10.,beginner,advanced
It are raining outside jf11-8.,It is raining outside jf11-8.,beginner,advanced
I am agree with you jf5-14.,I agree with you jf5-14.,beginner,advanced
He walk to school everyday jf4-12.,He walks to school every day jf4-12.,beginner,advanced
I am agree with you jf50-14.,I agree with you jf50-14.,beginner,advanced
She have went to Paris jf47-6.,She has gone to Paris jf47-6.,beginner,advanced
They was happy yesterday jf23-2.,They were happy yesterday jf23-2.,beginner,advanced
She dont like coffee jf2-1.,She doesn't like coffee jf2-1.,beginner,advanced
They enjoys the movie jf0-13.,They enjoy the movie jf0-13.,beginner,advanced
She can sings well jf0-10.,She can sing well jf0-10.,beginner,advanced
She can sings well jf47-10.,She can sing well jf47-10.,beginner,advanced
It are raining outside jf14-8.,It is raining outside jf14-8.,beginner,advanced
The childrens are playing jf8-7.,The children are playing jf8-7.,beginner,advanced
