sentence,label,acceptability_score,difficulty
Children should eats healthy food err66-8.,0,0.11,beginner
They has been study English err53-1.,0,0.09,beginner
The train arrive at station in schedule err53-13.,0,0.12,beginner
They has been study English err65-1.,0,0.09,beginner
He play piano beautiful err70-2.,0,0.14,beginner
She speaks three languages fluently ref79-7.,1,0.95,advanced
He works as a software engineer in Jakarta ref21-10.,1,0.95,advanced
We will visit the museum tomorrow ref0-4.,1,0.95,advanced
The students complete their homework on time yesterday err48-5.,0,0.12,beginner
Children should eat healthy food every day ref29-9.,1,0.95,advanced
The meeting was postponed until next Monday ref17-8.,1,0.95,advanced
We will visit the museum tomorrow ref29-4.,1,0.95,advanced
Children should eat healthy food every day ref26-9.,1,0.95,advanced
The train arrived at the station on schedule ref50-14.,1,0.95,advanced
She go to school every day err6-0.,0,0.11,beginner
He work as software engineer at Jakarta err50-9.,0,0.13,beginner
The train arrived at the station on schedule ref6-14.,1,0.95,advanced
He play piano beautiful err67-2.,0,0.14,beginner
She go to school every day err4-0.,0,0.11,beginner
My sister buyed a new laptop last week err24-11.,0,0.1,beginner
The students completed their homework on time ref8-6.,1,0.95,advanced
Children should eats healthy food err77-8.,0,0.11,beginner
The students completed their homework on time ref4-6.,1,0.95,advanced
The students complete their homework on time yesterday err18-5.,0,0.12,beginner
We will visit the museum tomorrow ref28-4.,1,0.95,advanced
We will visit the museum tomorrow ref11-4.,1,0.95,advanced
He plays the piano beautifully ref76-3.,1,0.95,advanced
The train arrived at the station on schedule ref41-14.,1,0.95,advanced
They has been study English err35-1.,0,0.09,beginner
We will visit the museum tomorrow ref61-4.,1,0.95,advanced
The students complete their homework on time yesterday err6-5.,0,0.12,beginner
The meeting were postpone until Monday err13-7.,0,0.15,beginner
The train arrive at station in schedule err5-13.,0,0.12,beginner
Children should eat healthy food every day ref54-9.,1,0.95,advanced
He works as a software engineer in Jakarta ref47-10.,1,0.95,advanced
My sister buyed a new laptop last week err31-11.,0,0.1,beginner
The students completed their homework on time ref53-6.,1,0.95,advanced
The students completed their homework on time ref10-6.,1,0.95,advanced
He work as software engineer at Jakarta err54-9.,0,0.13,beginner
The students complete their homework on time yesterday err26-5.,0,0.12,beginner
The weather today is warmer than yesterday ref37-11.,1,0.95,advanced
She speaks three languages fluently ref27-7.,1,0.95,advanced
Children should eat healthy food every day ref3-9.,1,0.95,advanced
They have been studying English for two years ref3-1.,1,0.95,advanced
He works as a software engineer in Jakarta ref13-10.,1,0.95,advanced
Reading books helps improve your vocabulary ref6-13.,1,0.95,advanced
The weather today is warmer than yesterday ref71-11.,1,0.95,advanced
He play piano beautiful err31-2.,0,0.14,beginner
The train arrive at station in schedule err18-13.,0,0.12,beginner
I have never seen such a beautiful sunset ref67-5.,1,0.95,advanced
The weather today is warmer than yesterday ref66-11.,1,0.95,advanced
They has been study English err71-1.,0,0.09,beginner
The train arrived at the station on schedule ref12-14.,1,0.95,advanced
The students completed their homework on time ref34-6.,1,0.95,advanced
He works as a software engineer in Jakarta ref19-10.,1,0.95,advanced
She go to school every day err49-0.,0,0.11,beginner
He work as software engineer at Jakarta err8-9.,0,0.13,beginner
The students completed their homework on time ref14-6.,1,0.95,advanced
Children should eat healthy food every day ref20-9.,1,0.95,advanced
He works as a software engineer in Jakarta ref40-10.,1,0.95,advanced
The meeting were postpone until Monday err39-7.,0,0.15,beginner
The weather today is warmer than yesterday ref62-11.,1,0.95,advanced
The book that I read yesterday was interesting ref14-2.,1,0.95,advanced
They has been study English err78-1.,0,0.09,beginner
Reading book help improve you vocabulary err39-12.,0,0.09,beginner
She speak three language fluent err32-6.,0,0.08,beginner
He works as a software engineer in Jakarta ref67-10.,1,0.95,advanced
The meeting was postponed until next Monday ref76-8.,1,0.95,advanced
He play piano beautiful err46-2.,0,0.14,beginner
The book that I read yesterday was interesting ref5-2.,1,0.95,advanced
The students complete their homework on time yesterday err38-5.,0,0.12,beginner
We will visit the museum tomorrow ref44-4.,1,0.95,advanced
Reading book help improve you vocabulary err44-12.,0,0.09,beginner
He plays the piano beautifully ref43-3.,1,0.95,advanced
She go to school every day err70-0.,0,0.11,beginner
I have never see such beautiful sunset err36-4.,0,0.1,beginner
The train arrive at station in schedule err56-13.,0,0.12,beginner
He play piano beautiful err4-2.,0,0.14,beginner
She go to school every day err18-0.,0,0.11,beginner
The students completed their homework on time ref57-6.,1,0.95,advanced
She goes to school every day ref35-0.,1,0.95,advanced
They have been studying English for two years ref0-1.,1,0.95,advanced
He work as software engineer at Jakarta err53-9.,0,0.13,beginner
The students completed their homework on time ref77-6.,1,0.95,advanced
The train arrive at station in schedule err50-13.,0,0.12,beginner
The weather today is warmer than yesterday ref50-11.,1,0.95,advanced
My sister bought a new laptop last week ref48-12.,1,0.95,advanced
Reading books helps improve your vocabulary ref38-13.,1,0.95,advanced
Children should eat healthy food every day ref31-9.,1,0.95,advanced
He play piano beautiful err24-2.,0,0.14,beginner
The train arrived at the station on schedule ref45-14.,1,0.95,advanced
She go to school every day err1-0.,0,0.11,beginner
I have never seen such a beautiful sunset ref57-5.,1,0.95,advanced
She speak three language fluent err73-6.,0,0.08,beginner
He play piano beautiful err60-2.,0,0.14,beginner
He plays the piano beautifully ref78-3.,1,0.95,advanced
They have been studying English for two years ref21-1.,1,0.95,advanced
There is many problem with this sentence err43-14.,0,0.11,beginner
He plays the piano beautifully ref24-3.,1,0.95,advanced
He work as software engineer at Jakarta err44-9.,0,0.13,beginner
We will visiting museum tomorrow err4-3.,0,0.13,beginner
We will visit the museum tomorrow ref65-4.,1,0.95,advanced
Children should eats healthy food err18-8.,0,0.11,beginner
She speaks three languages fluently ref48-7.,1,0.95,advanced
They have been studying English for two years ref34-1.,1,0.95,advanced
We will visit the museum tomorrow ref78-4.,1,0.95,advanced
The students completed their homework on time ref19-6.,1,0.95,advanced
We will visiting museum tomorrow err30-3.,0,0.13,beginner
He plays the piano beautifully ref65-3.,1,0.95,advanced
The students completed their homework on time ref67-6.,1,0.95,advanced
The meeting were postpone until Monday err11-7.,0,0.15,beginner
He plays the piano beautifully ref40-3.,1,0.95,advanced
My sister buyed a new laptop last week err6-11.,0,0.1,beginner
She speaks three languages fluently ref59-7.,1,0.95,advanced
Reading book help improve you vocabulary err74-12.,0,0.09,beginner
There is many problem with this sentence err9-14.,0,0.11,beginner
Reading books helps improve your vocabulary ref45-13.,1,0.95,advanced
We will visiting museum tomorrow err51-3.,0,0.13,beginner
There is many problem with this sentence err28-14.,0,0.11,beginner
The students complete their homework on time yesterday err64-5.,0,0.12,beginner
I have never seen such a beautiful sunset ref7-5.,1,0.95,advanced
I have never see such beautiful sunset err1-4.,0,0.1,beginner
The students completed their homework on time ref31-6.,1,0.95,advanced
The train arrive at station in schedule err69-13.,0,0.12,beginner
My sister buyed a new laptop last week err30-11.,0,0.1,beginner
She go to school every day err58-0.,0,0.11,beginner
Reading books helps improve your vocabulary ref73-13.,1,0.95,advanced
The weather today is more warm than yesterday err19-10.,0,0.14,beginner
I have never seen such a beautiful sunset ref77-5.,1,0.95,advanced
He plays the piano beautifully ref33-3.,1,0.95,advanced
They have been studying English for two years ref7-1.,1,0.95,advanced
He works as a software engineer in Jakarta ref78-10.,1,0.95,advanced
She go to school every day err30-0.,0,0.11,beginner
He play piano beautiful err50-2.,0,0.14,beginner
He play piano beautiful err17-2.,0,0.14,beginner
He plays the piano beautifully ref66-3.,1,0.95,advanced
We will visit the museum tomorrow ref40-4.,1,0.95,advanced
We will visit the museum tomorrow ref16-4.,1,0.95,advanced
She speak three language fluent err38-6.,0,0.08,beginner
The book that I read yesterday was interesting ref39-2.,1,0.95,advanced
I have never see such beautiful sunset err72-4.,0,0.1,beginner
Reading book help improve you vocabulary err8-12.,0,0.09,beginner
The students completed their homework on time ref1-6.,1,0.95,advanced
The weather today is more warm than yesterday err30-10.,0,0.14,beginner
The weather today is warmer than yesterday ref51-11.,1,0.95,advanced
The train arrive at station in schedule err3-13.,0,0.12,beginner
Reading books helps improve your vocabulary ref35-13.,1,0.95,advanced
I have never seen such a beautiful sunset ref53-5.,1,0.95,advanced
The meeting were postpone until Monday err3-7.,0,0.15,beginner
She goes to school every day ref25-0.,1,0.95,advanced
There is many problem with this sentence err74-14.,0,0.11,beginner
She speaks three languages fluently ref10-7.,1,0.95,advanced
They has been study English err28-1.,0,0.09,beginner
